1,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,-0.01375
1,2,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0
2,0,0.0,-3.1507387983788294e-07,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,-0.027454171072023578
2,2,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0
3,0,0.0,-1.570619639721411e-06,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0,-0.04111268505803057
3,2,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0
4,0,0.0,-4.384874659481267e-06,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0,-0.05472571311270104
4,2,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0
5,0,0.0,-9.36886933931344e-06,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0,-0.06829342570629851
5,2,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0,0.0
6,0,0.0,-1.7126382774205417e-05,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,-0.08181599262752094
6,2,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0,0.0
7,0,0.0,-2.8253900477641077e-05,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0,-0.09529358298633939
7,2,0.0,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0,0.0
8,0,0.0,-4.334057416859155e-05,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0,-0.10872636521682458
8,2,0.0,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0,0.0
9,0,0.0,-6.296818363421505e-05,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,-0.12211450707996138
9,2,0.0,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0,0.0
10,0,0.0,-8.771110067910905e-05,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,-0.1354581756664512
10,2,0.0,0.0,0.0,0.0,0.0
10,3,0.0,0.0,0.0,0.0,0.0
10,4,0.0,0.0,0.0,0.0,0.0
11,0,0.0,-0.00011813625517038567,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,-0.14875753739950243
11,2,0.0,0.0,0.0,0.0,0.0
11,3,0.0,0.0,0.0,0.0,0.0
11,4,0.0,0.0,0.0,0.0,0.0
12,0,0.0,-0.00015480310318627595,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,-0.16201275803760878
12,2,0.0,0.0,0.0,0.0,0.0
12,3,0.0,0.0,0.0,0.0,0.0
12,4,0.0,0.0,0.0,0.0,0.0
13,0,0.0,-0.00019826359727441467,0.0,0.0,0.0
13,1,0.0,0.0,0.0,0.0,-0.1752240026773158
13,2,0.0,0.0,0.0,0.0,0.0
13,3,0.0,0.0,0.0,0.0,0.0
13,4,0.0,0.0,0.0,0.0,0.0
14,0,0.0,-0.000249062158824415,0.0,0.0,0.0
14,1,0.0,0.0,0.0,0.0,-0.18839143575597594
14,2,0.0,0.0,0.0,0.0,0.0
14,3,0.0,0.0,0.0,0.0,0.0
14,4,0.0,0.0,0.0,0.0,0.0
15,0,0.0,-0.0003077356525578095,0.0,0.0,0.0
15,1,0.0,0.0,0.0,0.0,-0.2015152210544909
15,2,0.0,0.0,0.0,0.0,0.0
15,3,0.0,0.0,0.0,0.0,0.0
15,4,0.0,0.0,0.0,0.0,0.0
16,0,0.0,-0.00037481336313692357,0.0,0.0,0.0
16,1,0.0,0.0,0.0,0.0,-0.21459552170004317
16,2,0.0,0.0,0.0,0.0,0.0
16,3,0.0,0.0,0.0,0.0,0.0
16,4,0.0,0.0,0.0,0.0,0.0
17,0,0.0,-0.0004508169738927431,0.0,0.0,0.0
17,1,0.0,0.0,0.0,0.0,-0.22763250016881545
17,2,0.0,0.0,0.0,0.0,0.0
17,3,0.0,0.0,0.0,0.0,0.0
17,4,0.0,0.0,0.0,0.0,0.0
18,0,0.0,-0.0005362605476703611,0.0,0.0,0.0
18,1,0.0,0.0,0.0,0.0,-0.24062631828869852
18,2,0.0,0.0,0.0,0.0,0.0
18,3,0.0,0.0,0.0,0.0,0.0
18,4,0.0,0.0,0.0,0.0,0.0
19,0,0.0,-0.0006316505097891233,0.0,0.0,0.0
19,1,0.0,0.0,0.0,0.0,-0.2535771372419872
19,2,0.0,0.0,0.0,0.0,0.0
19,3,0.0,0.0,0.0,0.0,0.0
19,4,0.0,0.0,0.0,0.0,0.0
20,0,0.0,-0.0007374856331131513,0.0,0.0,0.0
20,1,0.0,0.0,0.0,0.0,-0.26648511756806553
20,2,0.0,0.0,0.0,0.0,0.0
20,3,0.0,0.0,0.0,0.0,0.0
20,4,0.0,0.0,0.0,0.0,0.0
21,0,0.0,-0.0008542570252265014,0.0,0.0,0.0
21,1,0.0,0.0,0.0,0.0,-0.2793504191660795
21,2,0.0,0.0,0.0,0.0,0.0
21,3,0.0,0.0,0.0,0.0,0.0
21,4,0.0,0.0,0.0,0.0,0.0
22,0,0.0,-0.000982448117705823,0.0,0.0,0.0
